SampleNumber,Test,Matrix,TestPrice,CustomerTestPrice,AnalysisTime,AnalysisEmployee,Site,CollectDate,OrderDetails_User1,OrderDetails_User2,CustomerID,ProjectID,Param,Results_Method,Result,Results_Units,RepLimit,Instrument
2023011502-01,NH3,Lake Water,6.85,6.85,1/17/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,NH3-N,ELA-NOxNH3,16,µg/L,7.7,AutoAnalyzer 3
2023011502-01,NO2,Lake Water,6.22,6.22,1/17/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,NO2-N,ELA-NOxNH3,0.6,µg/L,0.29,AutoAnalyzer 3
2023011502-01,NO3,Lake Water,6.3,6.3,1/17/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,NO3-N,ELA-NOxNH3,55,µg/L,1,AutoAnalyzer 3
2023011502-01,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Part C,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-01,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Part N,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-01,Part P,Lake Water,13.84,13.84,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Part P,ELA-PartP,,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,pH,Lake Water,4.28,4.28,1/16/2023 12:00:00 AM,shavens,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,pH,ELA-MT100,5.81,SU,,MANTECH MT-100
2023011502-01,Phytoplankton taxonomy,Lake Water,135,135,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Total Biomass,ELA-Phytoplankton taxonomy,,mg/m^3,1,Zeiss invertoscope inverted microscope
2023011502-01,SRSi,Lake Water,8.09,8.09,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,SRSi,ELA-SRSi,,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,TDN,Lake Water,8.94,8.94,1/19/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,TDN,ELA-TDN/TDP,273,µg/L,10.2,AutoAnalyzer 3
2023011502-01,TDP,Lake Water,8.54,8.54,1/19/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,TDP,ELA-TDN/TDP,1.5,µg/L,1.3,AutoAnalyzer 3
2023011502-03,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,A254,ELA-Absorbance scan,42.8358,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,E2:E3,ELA-Absorbance scan,6.1667,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,E2:E4,ELA-Absorbance scan,23.125,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,S275-295,ELA-Absorbance scan,0.0194,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,S350-400,ELA-Absorbance scan,0.0188,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,SR,ELA-Absorbance scan,1.0361,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,SUVA,ELA-Absorbance scan,,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,Alk,Lake Water,4.31,4.31,1/16/2023 12:00:00 AM,shavens,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Alk,ELA-MT100,170.2,µEq/L,,MANTECH MT-100
2023011502-03,Anions,Lake Water,19.28,19.28,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Cl,UA-ClSO4,,mg/L,0.03,Dionex DX-600 Ion Chromatograph
2023011502-03,Anions,Lake Water,19.28,19.28,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,SO4,UA-ClSO4,,mg/L,0.04,Dionex DX-600 Ion Chromatograph
2023011502-03,Archive,Lake Water,0,0,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Archive,ELA-Archive,,,,
2023011502-03,Cations,Lake Water,16.07,16.07,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Ca,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-03,Cations,Lake Water,16.07,16.07,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Fe,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-03,Cations,Lake Water,16.07,16.07,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,K,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-03,Cations,Lake Water,16.07,16.07,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Mg,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-03,Cations,Lake Water,16.07,16.07,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Mn,UA-ICP,,mg/L,0.0145,Thermo ICAP-6300 ICP-OES
2023011502-03,Cations,Lake Water,16.07,16.07,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Mo,UA-ICP,,mg/L,0.0015,Thermo ICAP-6300 ICP-OES
2023011502-03,Cations,Lake Water,16.07,16.07,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Na,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-03,Chla,Lake Water,11.44,11.44,7/7/2023 12:00:00 AM,eloewen,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Chla,ELA-Chla,0.5,µg/L,0.5,Turner Designs Trilogy Fluorometer
2023011502-03,DIC,Lake Water,9.46,9.46,1/16/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,DIC,ELA-DIC,212,µmol/L,2.1,LI-850 LI-COR CO2/H20 Gas Analyzer
2023011502-03,NH3,Lake Water,6.85,6.85,1/17/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,NH3-N,ELA-NOxNH3,10,µg/L,7.7,AutoAnalyzer 3
2023011502-03,NO2,Lake Water,6.22,6.22,1/17/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,NO2-N,ELA-NOxNH3,0.5,µg/L,0.29,AutoAnalyzer 3
2023011502-03,NO3,Lake Water,6.3,6.3,1/17/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,NO3-N,ELA-NOxNH3,57,µg/L,1,AutoAnalyzer 3
2023011502-03,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Part C,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-03,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Part N,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-03,Part P,Lake Water,13.84,13.84,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,Part P,ELA-PartP,,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,pH,Lake Water,4.28,4.28,1/16/2023 12:00:00 AM,shavens,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,pH,ELA-MT100,5.81,SU,,MANTECH MT-100
2023011502-03,SRSi,Lake Water,8.09,8.09,,,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,SRSi,ELA-SRSi,,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-03,TDN,Lake Water,8.94,8.94,1/19/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,TDN,ELA-TDN/TDP,270,µg/L,10.2,AutoAnalyzer 3
2023011502-03,TDP,Lake Water,8.54,8.54,1/19/2023 12:00:00 AM,bcooney,239 LA CB 5m,1/16/2023,,,LTER,239 Profile,TDP,ELA-TDN/TDP,1.6,µg/L,1.3,AutoAnalyzer 3
2023011502-04,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,A254,ELA-Absorbance scan,42.3752,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,E2:E3,ELA-Absorbance scan,6.1,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,E2:E4,ELA-Absorbance scan,22.875,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,S275-295,ELA-Absorbance scan,0.0194,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,S350-400,ELA-Absorbance scan,0.0191,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,SR,ELA-Absorbance scan,1.0141,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,SUVA,ELA-Absorbance scan,,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,Alk,Lake Water,4.31,4.31,1/16/2023 12:00:00 AM,shavens,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Alk,ELA-MT100,178.4,µEq/L,,MANTECH MT-100
2023011502-04,Anions,Lake Water,19.28,19.28,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Cl,UA-ClSO4,,mg/L,0.03,Dionex DX-600 Ion Chromatograph
2023011502-04,Anions,Lake Water,19.28,19.28,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,SO4,UA-ClSO4,,mg/L,0.04,Dionex DX-600 Ion Chromatograph
2023011502-04,Archive,Lake Water,0,0,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Archive,ELA-Archive,,,,
2023011502-04,Cations,Lake Water,16.07,16.07,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Ca,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-04,Cations,Lake Water,16.07,16.07,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Fe,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-04,Cations,Lake Water,16.07,16.07,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,K,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-04,Cations,Lake Water,16.07,16.07,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Mg,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-04,Cations,Lake Water,16.07,16.07,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Mn,UA-ICP,,mg/L,0.0145,Thermo ICAP-6300 ICP-OES
2023011502-04,Cations,Lake Water,16.07,16.07,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Mo,UA-ICP,,mg/L,0.0015,Thermo ICAP-6300 ICP-OES
2023011502-04,Cations,Lake Water,16.07,16.07,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Na,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-04,Chla,Lake Water,11.44,11.44,7/7/2023 12:00:00 AM,eloewen,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Chla,ELA-Chla,0.43,µg/L,0.5,Turner Designs Trilogy Fluorometer
2023011502-04,DIC,Lake Water,9.46,9.46,1/16/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,DIC,ELA-DIC,229,µmol/L,2.1,LI-850 LI-COR CO2/H20 Gas Analyzer
2023011502-04,NH3,Lake Water,6.85,6.85,1/17/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,NH3-N,ELA-NOxNH3,9,µg/L,7.7,AutoAnalyzer 3
2023011502-04,NO2,Lake Water,6.22,6.22,1/17/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,NO2-N,ELA-NOxNH3,0.5,µg/L,0.29,AutoAnalyzer 3
2023011502-04,NO3,Lake Water,6.3,6.3,1/17/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,NO3-N,ELA-NOxNH3,62,µg/L,1,AutoAnalyzer 3
2023011502-04,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Part C,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-04,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Part N,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-04,Part P,Lake Water,13.84,13.84,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,Part P,ELA-PartP,,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,pH,Lake Water,4.28,4.28,1/16/2023 12:00:00 AM,shavens,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,pH,ELA-MT100,5.81,SU,,MANTECH MT-100
2023011502-04,SRSi,Lake Water,8.09,8.09,,,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,SRSi,ELA-SRSi,,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-04,TDN,Lake Water,8.94,8.94,1/19/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,TDN,ELA-TDN/TDP,270,µg/L,10.2,AutoAnalyzer 3
2023011502-04,TDP,Lake Water,8.54,8.54,1/19/2023 12:00:00 AM,bcooney,239 LA CB 10m,1/16/2023,,,LTER,239 Profile,TDP,ELA-TDN/TDP,1.7,µg/L,1.3,AutoAnalyzer 3
2023011502-05,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,A254,ELA-Absorbance scan,41.9146,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-05,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,E2:E3,ELA-Absorbance scan,6.2414,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-05,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,E2:E4,ELA-Absorbance scan,22.625,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-05,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,S275-295,ELA-Absorbance scan,0.0193,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-05,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,S350-400,ELA-Absorbance scan,0.0194,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-05,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,SR,ELA-Absorbance scan,0.9971,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-05,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,SUVA,ELA-Absorbance scan,,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-05,Alk,Lake Water,4.31,4.31,1/16/2023 12:00:00 AM,shavens,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Alk,ELA-MT100,176.2,µEq/L,,MANTECH MT-100
2023011502-05,Anions,Lake Water,19.28,19.28,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Cl,UA-ClSO4,,mg/L,0.03,Dionex DX-600 Ion Chromatograph
2023011502-05,Anions,Lake Water,19.28,19.28,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,SO4,UA-ClSO4,,mg/L,0.04,Dionex DX-600 Ion Chromatograph
2023011502-05,Archive,Lake Water,0,0,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Archive,ELA-Archive,,,,
2023011502-05,Cations,Lake Water,16.07,16.07,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Ca,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-05,Cations,Lake Water,16.07,16.07,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Fe,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-05,Cations,Lake Water,16.07,16.07,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,K,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-05,Cations,Lake Water,16.07,16.07,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Mg,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-05,Cations,Lake Water,16.07,16.07,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Mn,UA-ICP,,mg/L,0.0145,Thermo ICAP-6300 ICP-OES
2023011502-05,Cations,Lake Water,16.07,16.07,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Mo,UA-ICP,,mg/L,0.0015,Thermo ICAP-6300 ICP-OES
2023011502-05,Cations,Lake Water,16.07,16.07,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Na,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-05,Chla,Lake Water,11.44,11.44,7/7/2023 12:00:00 AM,eloewen,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Chla,ELA-Chla,0.42,µg/L,0.5,Turner Designs Trilogy Fluorometer
2023011502-05,DIC,Lake Water,9.46,9.46,1/16/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,DIC,ELA-DIC,251,µmol/L,2.1,LI-850 LI-COR CO2/H20 Gas Analyzer
2023011502-05,NH3,Lake Water,6.85,6.85,1/17/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,NH3-N,ELA-NOxNH3,9,µg/L,7.7,AutoAnalyzer 3
2023011502-05,NO2,Lake Water,6.22,6.22,1/17/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,NO2-N,ELA-NOxNH3,0.4,µg/L,0.29,AutoAnalyzer 3
2023011502-05,NO3,Lake Water,6.3,6.3,1/17/2023 12:00:00 AM,bcooney,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,NO3-N,ELA-NOxNH3,67,µg/L,1,AutoAnalyzer 3
2023011502-05,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Part C,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-05,Part C/N,Lake Water,18.19,18.19,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Part N,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011502-05,Part P,Lake Water,13.84,13.84,,,239 LA CB 15m,1/16/2023,,,LTER,239 Profile,Part P,ELA-PartP,,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer
